Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Less than high school graduate:,Margin of Error!!Total:!!Less than high school graduate:,Estimate!!Total:!!Less than high school graduate:!!In labor force:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Less than high school graduate:!!Not in labor force,Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force,Estimate!!Total:!!High school graduate (includes equivalency):,Margin of Error!!Total:!!High school graduate (includes equivalency):,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Margin of Error!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Estimate!!Total:!!Some college or associate's degree:,Margin of Error!!Total:!!Some college or associate's degree:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Some college or associate's degree:!!Not in labor force,Margin of Error!!Total:!!Some college or associate's degree:!!Not in labor force,Estimate!!Total:!!Bachelor's degree or higher:,Margin of Error!!Total:!!Bachelor's degree or higher:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Bachelor's degree or higher:!!Not in labor force,Margin of Error!!Total:!!Bachelor's degree or higher:!!Not in labor force
ZCTA5 24133,997,197,184,98,84,61,0,13,84,61,84,61,0,13,100,82,335,129,282,118,0,13,282,118,282,118,0,13,53,38,373,117,283,94,0,13,283,94,283,94,0,13,90,66,105,55,89,49,0,13,89,49,89,49,0,13,16,19
ZCTA5 24134,2663,297,265,117,119,69,0,18,119,69,80,59,39,43,146,93,783,207,614,199,0,18,614,199,549,168,65,66,169,82,1060,235,836,184,0,18,836,184,817,179,19,28,224,137,555,166,454,162,0,18,454,162,439,151,15,26,101,82
ZCTA5 24136,1686,237,135,53,69,33,0,13,69,33,58,33,11,16,66,40,678,143,497,124,0,13,497,124,497,124,0,13,181,88,456,124,381,115,0,13,381,115,381,115,0,13,75,42,417,150,372,146,0,13,372,146,372,146,0,13,45,28
ZCTA5 24137,1486,371,118,87,65,61,0,13,65,61,65,61,0,13,53,62,508,193,381,169,0,13,381,169,381,169,0,13,127,83,605,211,526,214,0,13,526,214,526,214,0,13,79,46,255,194,185,123,0,13,185,123,185,123,0,13,70,90
ZCTA5 24138,1056,349,53,48,23,36,0,13,23,36,23,36,0,13,30,33,382,187,339,174,0,13,339,174,339,174,0,13,43,64,425,195,209,72,0,13,209,72,209,72,0,13,216,192,196,139,144,87,0,13,144,87,144,87,0,13,52,80
ZCTA5 24139,142,87,27,27,14,18,0,13,14,18,14,18,0,13,13,21,47,52,19,20,0,13,19,20,19,20,0,13,28,48,68,68,47,46,0,13,47,46,47,46,0,13,21,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 24141,10702,568,691,210,419,163,0,24,419,163,388,163,31,36,272,122,2333,452,1385,280,0,24,1385,280,1315,265,70,59,948,344,3241,421,2560,376,0,24,2560,376,2441,374,119,150,681,214,4437,500,3862,472,11,12,3851,473,3619,469,232,151,575,229
ZCTA5 24142,11,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,17,0,13,0,13,0,13,0,13,0,13,11,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 24147,631,193,21,18,5,8,0,13,5,8,5,8,0,13,16,16,211,97,164,92,0,13,164,92,161,91,3,5,47,28,222,125,178,112,0,13,178,112,171,112,7,11,44,41,177,111,175,111,0,13,175,111,175,111,0,13,2,3
ZCTA5 24148,4170,464,458,163,193,123,0,18,193,123,177,119,16,26,265,112,1402,291,730,184,0,18,730,184,699,179,31,29,672,211,1477,318,1098,233,0,18,1098,233,1067,226,31,44,379,166,833,229,709,204,0,18,709,204,709,204,0,18,124,62
ZCTA5 24149,2125,526,80,85,51,63,0,13,51,63,51,63,0,13,29,52,754,378,480,215,0,13,480,215,480,215,0,13,274,212,720,270,618,253,0,13,618,253,566,238,52,77,102,66,571,193,459,180,0,13,459,180,439,172,20,32,112,87
ZCTA5 24150,538,283,53,63,43,62,0,13,43,62,0,13,43,62,10,15,22,22,6,10,0,13,6,10,6,10,0,13,16,15,349,187,328,185,0,13,328,185,328,185,0,13,21,23,114,81,96,74,0,13,96,74,96,74,0,13,18,28
ZCTA5 24151,10124,792,1051,301,380,157,0,20,380,157,313,152,67,82,671,257,3704,519,2604,418,0,20,2604,418,2328,402,276,152,1100,287,3430,493,2579,419,0,20,2579,419,2501,410,78,64,851,245,1939,361,1788,349,0,20,1788,349,1788,349,0,20,151,76
ZCTA5 24153,19075,682,1530,294,923,219,0,27,923,219,815,192,108,73,607,163,5289,504,3504,415,0,27,3504,415,3400,418,104,76,1785,286,6557,624,5204,560,240,283,4964,498,4729,470,235,135,1353,243,5699,561,5120,504,4,7,5116,504,5039,504,77,43,579,178
ZCTA5 24161,180,95,58,50,0,13,0,13,0,13,0,13,0,13,58,50,62,51,57,51,0,13,57,51,57,51,0,13,5,8,47,29,36,25,0,13,36,25,36,25,0,13,11,16,13,20,13,20,0,13,13,20,13,20,0,13,0,13
ZCTA5 24162,1621,804,142,117,142,117,0,13,142,117,142,117,0,13,0,13,820,417,303,159,0,13,303,159,292,155,11,18,517,389,516,344,497,340,0,13,497,340,497,340,0,13,19,31,143,166,44,72,0,13,44,72,44,72,0,13,99,147
ZCTA5 24165,655,200,78,72,7,12,0,13,7,12,7,12,0,13,71,70,288,136,160,102,0,13,160,102,141,98,19,29,128,68,251,97,176,80,0,13,176,80,153,77,23,26,75,43,38,32,25,25,0,13,25,25,25,25,0,13,13,22
ZCTA5 24167,87,86,0,13,0,13,0,13,0,13,0,13,0,13,0,13,78,83,67,83,0,13,67,83,67,83,0,13,11,18,9,16,9,16,0,13,9,16,9,16,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 24168,120,111,75,112,0,13,0,13,0,13,0,13,0,13,75,112,28,36,28,36,0,13,28,36,28,36,0,13,0,13,17,25,17,25,0,13,17,25,17,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 24171,4114,408,310,95,134,63,0,18,134,63,124,62,10,17,176,77,1704,283,1086,211,0,18,1086,211,1043,204,43,49,618,195,1471,295,1190,268,0,18,1190,268,1110,245,80,75,281,109,629,150,572,142,0,18,572,142,559,138,13,21,57,38
ZCTA5 24174,1792,385,261,109,191,102,0,13,191,102,191,102,0,13,70,64,835,299,588,215,0,13,588,215,542,216,46,41,247,139,552,188,327,129,0,13,327,129,327,129,0,13,225,153,144,53,124,46,0,13,124,46,124,46,0,13,20,23
ZCTA5 24175,4302,520,169,70,70,43,0,18,70,43,70,43,0,18,99,63,1257,306,1054,261,0,18,1054,261,1048,261,6,9,203,91,1547,352,1266,304,0,18,1266,304,1266,304,0,18,281,130,1329,304,1121,282,0,18,1121,282,1106,282,15,24,208,83
ZCTA5 24176,582,152,0,13,0,13,0,13,0,13,0,13,0,13,0,13,112,91,76,55,0,13,76,55,68,54,8,13,36,43,201,83,136,66,0,13,136,66,126,65,10,15,65,54,269,90,172,77,0,13,172,77,172,77,0,13,97,46
ZCTA5 24179,9186,622,601,216,358,186,0,20,358,186,358,186,0,20,243,86,2923,438,2070,362,0,20,2070,362,1966,344,104,74,853,267,3428,445,2840,422,0,20,2840,422,2789,419,51,38,588,176,2234,462,2003,452,0,20,2003,452,1986,454,17,27,231,89
ZCTA5 24184,1872,398,75,66,34,40,0,13,34,40,34,40,0,13,41,54,766,269,514,220,0,13,514,220,496,217,18,29,252,144,707,235,564,215,21,33,543,208,543,208,0,13,143,95,324,155,283,144,0,13,283,144,255,139,28,36,41,45
ZCTA5 24185,441,309,14,21,0,13,0,13,0,13,0,13,0,13,14,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,357,297,357,297,0,13,357,297,357,297,0,13,0,13,70,81,70,81,0,13,70,81,70,81,0,13,0,13
ZCTA5 24201,7874,410,1115,229,505,171,0,20,505,171,412,145,93,86,610,169,2221,333,1503,326,0,20,1503,326,1371,313,132,130,718,191,2580,373,1844,376,0,20,1844,376,1773,378,71,102,736,229,1958,352,1745,319,0,20,1745,319,1745,319,0,20,213,133
ZCTA5 24202,6831,711,322,121,173,86,0,20,173,86,173,86,0,20,149,88,2986,699,2154,601,0,20,2154,601,2095,595,59,61,832,281,2335,463,1879,420,0,20,1879,420,1856,422,23,33,456,174,1188,261,1004,270,0,20,1004,270,1004,270,0,20,184,99
ZCTA5 24210,8465,493,930,245,303,110,0,20,303,110,259,100,44,44,627,215,2733,381,1586,273,0,20,1586,273,1516,266,70,47,1147,273,2311,310,1654,295,12,19,1642,296,1551,284,91,57,657,164,2491,340,2179,324,0,20,2179,324,2147,317,32,31,312,111
ZCTA5 24211,5484,574,320,112,193,95,0,20,193,95,164,85,29,33,127,64,1442,283,997,271,0,20,997,271,984,270,13,20,445,169,1730,280,1241,237,0,20,1241,237,1163,236,78,64,489,161,1992,357,1667,312,0,20,1667,312,1634,314,33,32,325,136
ZCTA5 24216,1219,197,253,118,35,32,0,13,35,32,25,29,10,15,218,115,388,104,180,75,0,13,180,75,145,63,35,40,208,86,432,126,214,89,0,13,214,89,213,89,1,4,218,79,146,90,125,87,0,13,125,87,125,87,0,13,21,14
ZCTA5 24217,88,78,17,21,0,13,0,13,0,13,0,13,0,13,17,21,30,26,12,18,0,13,12,18,12,18,0,13,18,25,32,48,32,48,0,13,32,48,20,45,12,18,0,13,9,19,9,19,0,13,9,19,9,19,0,13,0,13
ZCTA5 24219,6808,660,1139,335,165,110,0,20,165,110,165,110,0,20,974,300,1877,464,916,320,0,20,916,320,843,314,73,58,961,262,2684,465,1637,339,0,20,1637,339,1563,329,74,54,1047,269,1108,286,923,253,0,20,923,253,907,253,16,26,185,126
ZCTA5 24220,628,232,29,34,0,13,0,13,0,13,0,13,0,13,29,34,170,111,74,55,0,13,74,55,74,55,0,13,96,102,346,165,286,154,0,13,286,154,286,154,0,13,60,43,83,96,75,95,0,13,75,95,75,95,0,13,8,14
ZCTA5 24221,247,126,6,9,6,9,0,13,6,9,6,9,0,13,0,13,57,37,20,19,0,13,20,19,20,19,0,13,37,29,123,65,77,68,0,13,77,68,77,68,0,13,46,36,61,60,52,59,0,13,52,59,52,59,0,13,9,14
ZCTA5 24224,2928,427,484,167,160,105,0,18,160,105,160,105,0,18,324,112,1148,241,466,148,0,18,466,148,439,148,27,25,682,191,1018,255,638,165,0,18,638,165,621,164,17,20,380,189,278,100,195,92,0,18,195,92,195,92,0,18,83,59
ZCTA5 24225,1108,330,197,138,49,89,0,13,49,89,48,90,1,2,148,100,422,224,107,76,0,13,107,76,75,55,32,48,315,220,441,182,244,166,0,13,244,166,220,128,24,116,197,112,48,51,48,51,0,13,48,51,36,40,12,20,0,13
ZCTA5 24226,766,208,87,75,9,10,0,13,9,10,9,10,0,13,78,75,298,123,196,107,1,3,195,107,195,107,0,13,102,49,325,115,137,75,0,13,137,75,137,75,0,13,188,98,56,41,52,39,0,13,52,39,52,39,0,13,4,8
ZCTA5 24228,3227,358,419,170,166,112,0,18,166,112,159,112,7,11,253,123,1064,239,441,145,0,18,441,145,412,136,29,33,623,183,1232,265,668,184,0,18,668,184,626,181,42,39,564,195,512,162,483,162,0,18,483,162,475,162,8,12,29,23
ZCTA5 24230,3828,460,774,232,194,113,0,18,194,113,170,112,24,27,580,216,1128,266,670,170,0,18,670,170,617,170,53,45,458,178,1254,302,816,239,0,18,816,239,755,217,61,60,438,143,672,266,434,208,0,18,434,208,428,208,6,14,238,138
ZCTA5 24236,1490,308,229,121,65,51,0,13,65,51,65,51,0,13,164,106,539,172,254,102,0,13,254,102,239,104,15,18,285,128,373,135,313,129,0,13,313,129,299,126,14,17,60,35,349,154,249,119,0,13,249,119,249,119,0,13,100,85
ZCTA5 24237,448,181,126,82,14,21,0,13,14,21,0,13,14,21,112,80,203,140,62,66,0,13,62,66,38,55,24,36,141,92,90,63,68,53,0,13,68,53,68,53,0,13,22,38,29,34,10,14,0,13,10,14,10,14,0,13,19,31
ZCTA5 24239,63,72,16,24,0,13,0,13,0,13,0,13,0,13,16,24,47,51,47,51,0,13,47,51,15,24,32,46,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 24243,939,256,36,44,0,13,0,13,0,13,0,13,0,13,36,44,344,164,217,125,0,13,217,125,217,125,0,13,127,74,506,163,344,145,0,13,344,145,344,145,0,13,162,76,53,36,31,31,0,13,31,31,31,31,0,13,22,22
ZCTA5 24244,3200,521,543,206,129,71,0,18,129,71,129,71,0,18,414,191,1124,261,423,137,0,18,423,137,389,119,34,41,701,232,1102,323,796,278,0,18,796,278,759,273,37,33,306,107,431,184,331,170,0,18,331,170,331,170,0,18,100,65
ZCTA5 24245,449,120,66,52,18,18,0,13,18,18,18,18,0,13,48,41,152,78,81,68,0,13,81,68,81,68,0,13,71,37,203,96,149,97,0,13,149,97,149,97,0,13,54,35,28,21,24,21,0,13,24,21,24,21,0,13,4,6
ZCTA5 24246,163,130,46,71,0,13,0,13,0,13,0,13,0,13,46,71,74,104,74,104,0,13,74,104,0,13,74,104,0,13,43,66,43,66,0,13,43,66,43,66,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 24248,1171,306,271,148,90,100,0,13,90,100,90,100,0,13,181,116,437,188,263,153,0,13,263,153,263,153,0,13,174,125,309,142,168,78,0,13,168,78,168,78,0,13,141,107,154,107,154,107,0,13,154,107,120,93,34,55,0,13
ZCTA5 24250,643,174,148,120,50,49,0,13,50,49,50,49,0,13,98,91,278,111,154,77,0,13,154,77,154,77,0,13,124,90,196,80,119,70,0,13,119,70,97,58,22,31,77,50,21,27,13,20,0,13,13,20,13,20,0,13,8,14
ZCTA5 24251,3825,344,271,116,80,64,0,18,80,64,67,51,13,20,191,101,1548,215,1050,202,0,18,1050,202,1045,203,5,10,498,128,1196,195,872,159,23,32,849,159,823,162,26,24,324,114,810,216,676,161,24,37,652,146,645,145,7,11,134,143
ZCTA5 24256,1877,338,385,125,59,46,0,13,59,46,56,45,3,5,326,120,864,218,345,153,0,13,345,153,294,114,51,59,519,150,512,162,253,106,0,13,253,106,231,103,22,29,259,95,116,66,112,65,0,13,112,65,97,50,15,25,4,7
ZCTA5 24258,819,207,75,47,18,21,0,13,18,21,18,21,0,13,57,41,298,108,125,74,0,13,125,74,125,74,0,13,173,82,331,144,265,137,0,13,265,137,248,134,17,25,66,59,115,61,89,47,0,13,89,47,78,47,11,17,26,26
ZCTA5 24260,2422,373,425,138,116,73,0,13,116,73,78,56,38,39,309,109,926,260,310,121,0,13,310,121,309,121,1,3,616,242,783,189,395,138,0,13,395,138,373,133,22,24,388,149,288,123,178,91,0,13,178,91,178,91,0,13,110,69
ZCTA5 24263,2856,469,421,177,113,100,0,18,113,100,113,100,0,18,308,154,932,289,319,125,0,18,319,125,261,109,58,78,613,254,1082,240,876,237,0,18,876,237,646,199,230,174,206,103,421,149,361,141,0,18,361,141,351,140,10,16,60,35
ZCTA5 24265,747,423,122,89,9,13,0,13,9,13,0,13,9,13,113,91,289,172,75,50,0,13,75,50,75,50,0,13,214,168,306,269,21,26,0,13,21,26,21,26,0,13,285,269,30,34,7,11,0,13,7,11,7,11,0,13,23,36
ZCTA5 24266,4840,479,424,182,90,81,0,18,90,81,51,53,39,59,334,170,1988,422,835,234,0,18,835,234,798,239,37,58,1153,375,1783,416,1395,376,0,18,1395,376,1328,374,67,64,388,164,645,225,523,216,0,18,523,216,512,214,11,19,122,91
ZCTA5 24269,261,166,98,93,24,38,0,13,24,38,24,38,0,13,74,67,115,79,79,68,0,13,79,68,79,68,0,13,36,40,48,57,32,45,0,13,32,45,32,45,0,13,16,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 24270,332,133,21,33,0,13,0,13,0,13,0,13,0,13,21,33,191,142,104,69,0,13,104,69,104,69,0,13,87,91,85,57,85,57,0,13,85,57,85,57,0,13,0,13,35,45,29,38,0,13,29,38,29,38,0,13,6,16
ZCTA5 24271,1238,259,218,120,138,115,0,13,138,115,138,115,0,13,80,61,459,151,257,96,0,13,257,96,251,96,6,8,202,115,418,125,264,102,4,8,260,102,260,102,0,13,154,82,143,70,107,60,0,13,107,60,106,59,1,3,36,39
ZCTA5 24272,177,101,20,20,0,13,0,13,0,13,0,13,0,13,20,20,116,80,49,43,0,13,49,43,49,43,0,13,67,69,40,31,13,15,0,13,13,15,13,15,0,13,27,29,1,6,1,6,0,13,1,6,1,6,0,13,0,13
ZCTA5 24273,3101,345,503,172,161,100,0,18,161,100,137,92,24,40,342,156,951,225,628,182,0,18,628,182,496,155,132,101,323,132,1100,248,885,220,0,18,885,220,839,226,46,49,215,103,547,206,440,183,0,18,440,183,440,183,0,18,107,87
ZCTA5 24277,4048,535,1048,258,190,87,0,18,190,87,165,82,25,27,858,233,1546,316,630,191,0,18,630,191,611,189,19,23,916,251,1176,202,539,149,0,18,539,149,530,150,9,11,637,153,278,111,182,89,0,18,182,89,182,89,0,18,96,58
ZCTA5 24279,3184,341,763,160,267,116,0,18,267,116,190,101,77,91,496,119,1437,278,652,204,0,18,652,204,567,192,85,66,785,170,729,154,360,120,0,18,360,120,349,122,11,15,369,107,255,98,168,87,0,18,168,87,168,87,0,18,87,52
ZCTA5 24280,536,212,45,46,45,46,0,13,45,46,45,46,0,13,0,13,195,109,140,108,0,13,140,108,138,108,2,4,55,37,194,123,128,109,0,13,128,109,128,109,0,13,66,59,102,76,102,76,0,13,102,76,102,76,0,13,0,13
ZCTA5 24281,1195,315,152,92,53,53,0,13,53,53,53,53,0,13,99,82,460,200,229,118,0,13,229,118,229,118,0,13,231,124,386,169,386,169,0,13,386,169,386,169,0,13,0,13,197,113,177,109,0,13,177,109,177,109,0,13,20,33
ZCTA5 24282,377,162,128,96,38,58,0,13,38,58,35,58,3,7,90,74,101,52,37,34,0,13,37,34,33,32,4,6,64,44,140,82,45,49,0,13,45,49,25,36,20,29,95,80,8,12,0,13,0,13,0,13,0,13,0,13,8,12
ZCTA5 24283,1004,165,119,50,44,33,0,13,44,33,26,26,18,20,75,43,328,80,165,70,0,13,165,70,133,68,32,37,163,52,388,127,228,116,0,13,228,116,199,106,29,32,160,58,169,57,114,50,0,13,114,50,114,50,0,13,55,36
ZCTA5 24290,1092,264,139,66,79,54,0,13,79,54,58,44,21,34,60,40,381,125,235,99,0,13,235,99,227,100,8,9,146,52,371,129,319,122,0,13,319,122,300,120,19,18,52,37,201,83,156,68,0,13,156,68,153,68,3,4,45,38
ZCTA5 24292,170,59,19,17,0,13,0,13,0,13,0,13,0,13,19,17,113,47,78,39,0,13,78,39,78,39,0,13,35,27,26,20,10,14,0,13,10,14,10,14,0,13,16,14,12,13,12,13,0,13,12,13,12,13,0,13,0,13
ZCTA5 24293,4781,473,652,221,361,160,0,18,361,160,285,140,76,83,291,129,1416,264,665,194,0,18,665,194,566,152,99,107,751,194,1548,249,1041,196,2,4,1039,196,1017,196,22,30,507,153,1165,301,1020,257,0,18,1020,257,1020,257,0,18,145,114
ZCTA5 24301,7098,446,671,233,291,153,0,20,291,153,241,127,50,52,380,160,2436,303,1614,272,0,20,1614,272,1503,270,111,71,822,210,2930,388,2425,397,31,48,2394,392,2311,395,83,53,505,128,1061,214,945,219,0,20,945,219,925,213,20,27,116,72
ZCTA5 24311,827,213,77,48,14,13,0,13,14,13,14,13,0,13,63,44,266,102,157,82,0,13,157,82,146,82,11,16,109,64,386,157,298,145,0,13,298,145,298,145,0,13,88,59,98,43,82,42,0,13,82,42,82,42,0,13,16,14
ZCTA5 24312,1151,449,284,317,82,89,0,13,82,89,82,89,0,13,202,304,312,174,144,88,0,13,144,88,132,83,12,22,168,133,424,161,301,126,0,13,301,126,288,123,13,22,123,111,131,75,125,73,0,13,125,73,125,73,0,13,6,10
ZCTA5 24313,399,190,44,35,20,31,0,13,20,31,20,31,0,13,24,31,254,161,254,161,0,13,254,161,226,158,28,51,0,13,74,53,74,53,0,13,74,53,74,53,0,13,0,13,27,40,27,40,0,13,27,40,27,40,0,13,0,13
ZCTA5 24314,669,174,58,56,39,51,0,13,39,51,39,51,0,13,19,23,240,87,148,72,0,13,148,72,127,68,21,33,92,54,224,101,157,69,0,13,157,69,139,66,18,26,67,65,147,86,127,83,0,13,127,83,127,83,0,13,20,22
ZCTA5 24315,2159,275,122,58,6,10,0,13,6,10,0,13,6,10,116,59,1126,207,396,131,0,13,396,131,372,128,24,36,730,226,669,184,465,189,0,13,465,189,465,189,0,13,204,74,242,129,206,121,0,13,206,121,206,121,0,13,36,27
ZCTA5 24316,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 24317,2486,486,478,185,271,147,0,13,271,147,271,147,0,13,207,120,946,368,487,213,11,19,476,211,440,202,36,43,459,257,736,243,699,244,0,13,699,244,699,244,0,13,37,36,326,146,282,132,0,13,282,132,270,130,12,19,44,40
ZCTA5 24318,248,92,24,25,12,18,0,13,12,18,12,18,0,13,12,17,119,59,91,48,0,13,91,48,91,48,0,13,28,28,80,48,65,44,0,13,65,44,65,44,0,13,15,18,25,33,25,33,0,13,25,33,25,33,0,13,0,13
ZCTA5 24319,3356,360,311,140,91,52,0,18,91,52,89,51,2,5,220,132,1284,242,822,191,0,18,822,191,750,181,72,59,462,138,1086,197,733,165,0,18,733,165,733,165,0,18,353,108,675,192,535,153,0,18,535,153,521,145,14,22,140,102
ZCTA5 24322,17,21,8,14,0,13,0,13,0,13,0,13,0,13,8,14,9,15,9,15,0,13,9,15,9,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 24323,487,200,44,37,30,29,0,13,30,29,30,29,0,13,14,20,150,99,118,78,0,13,118,78,118,78,0,13,32,31,230,121,152,91,0,13,152,91,152,91,0,13,78,78,63,63,63,63,0,13,63,63,63,63,0,13,0,13
ZCTA5 24324,1405,381,31,38,23,32,0,13,23,32,23,32,0,13,8,15,429,185,319,131,0,13,319,131,319,131,0,13,110,100,739,333,613,327,0,13,613,327,613,327,0,13,126,132,206,130,195,129,0,13,195,129,195,129,0,13,11,20
ZCTA5 24325,512,195,66,58,15,23,0,13,15,23,15,23,0,13,51,53,178,81,63,48,0,13,63,48,63,48,0,13,115,78,161,85,96,78,0,13,96,78,96,78,0,13,65,69,107,119,107,119,0,13,107,119,107,119,0,13,0,13
ZCTA5 24326,388,143,28,31,15,21,0,13,15,21,15,21,0,13,13,23,136,69,94,61,0,13,94,61,94,61,0,13,42,32,137,71,107,69,0,13,107,69,107,69,0,13,30,27,87,49,59,39,0,13,59,39,59,39,0,13,28,26
ZCTA5 24328,819,243,106,85,93,89,0,13,93,89,61,75,32,50,13,21,142,100,76,72,0,13,76,72,76,72,0,13,66,65,459,209,272,133,0,13,272,133,272,133,0,13,187,115,112,79,71,68,0,13,71,68,71,68,0,13,41,52
ZCTA5 24330,1497,339,303,132,170,79,0,13,170,79,139,74,31,36,133,110,556,197,304,84,0,13,304,84,278,80,26,35,252,172,477,186,315,102,0,13,315,102,308,101,7,12,162,120,161,98,150,97,0,13,150,97,150,97,0,13,11,13
ZCTA5 24333,8595,649,1478,309,748,190,0,20,748,190,742,191,6,9,730,260,2496,449,1741,384,0,20,1741,384,1715,381,26,27,755,178,3112,458,2582,439,0,20,2582,439,2439,407,143,110,530,139,1509,280,1247,243,17,24,1230,242,1205,243,25,24,262,104
ZCTA5 24340,2889,427,374,165,177,89,0,18,177,89,177,89,0,18,197,94,1016,245,709,189,0,18,709,189,684,188,25,28,307,126,831,135,570,123,0,18,570,123,513,117,57,43,261,101,668,230,550,173,0,18,550,173,545,171,5,8,118,83
ZCTA5 24343,4485,524,555,288,190,111,0,18,190,111,189,110,1,9,365,245,2003,374,1499,295,0,18,1499,295,1451,281,48,49,504,220,1218,307,907,273,0,18,907,273,904,273,3,15,311,136,709,200,574,183,0,18,574,183,568,181,6,9,135,84
ZCTA5 24347,721,205,33,30,0,13,0,13,0,13,0,13,0,13,33,30,286,131,187,110,0,13,187,110,171,111,16,16,99,62,331,137,281,113,0,13,281,113,281,113,0,13,50,49,71,51,71,51,0,13,71,51,71,51,0,13,0,13
ZCTA5 24348,2711,230,496,103,134,66,0,13,134,66,134,66,0,13,362,83,1189,185,588,132,0,13,588,132,541,117,47,56,601,126,668,144,396,116,0,13,396,116,387,116,9,13,272,94,358,118,313,114,0,13,313,114,301,112,12,20,45,29
