ZIP,Total Employed Civillians Above 16,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
24318,217,25,16,48,25,103
24319,2833,861,512,593,234,633
24322,9,9,0,0,0,0
24323,440,119,103,117,19,82
24324,1383,462,150,400,150,221
24325,375,204,52,44,37,38
24326,358,135,23,51,78,71
24328,538,91,51,245,42,109
24330,1049,237,303,188,128,193
24333,7370,2045,1392,1694,472,1767
24340,2376,878,336,442,184,536
24343,4051,1147,692,595,544,1073
24347,657,260,146,140,25,86
24348,1604,438,224,318,117,507
24350,518,159,154,44,32,129
24351,150,21,74,21,13,21
24352,599,275,136,119,16,53
24354,5655,1272,1319,1169,412,1483
24360,2729,845,518,551,418,397
24361,2270,640,428,598,198,406
24363,664,310,115,52,61,126
24366,268,67,135,21,18,27
24368,2711,858,565,492,207,589
24370,2118,576,390,381,278,493
24374,412,112,69,109,41,81
24375,735,117,154,107,146,211
24377,225,26,23,12,53,111
24378,441,77,122,80,54,108
24380,1277,550,125,212,218,172
24381,1744,337,403,516,242,246
24382,6308,1991,1458,1291,270,1298
24401,17450,6012,3666,3977,1072,2723
24411,21,9,9,0,3,0
24412,144,144,0,0,0,0
24413,134,38,15,29,31,21
24415,0,0,0,0,0,0
24416,4123,1179,1289,642,283,730
24421,2307,541,270,609,332,555
24422,2372,778,432,500,164,498
24426,5492,1269,1284,1146,659,1134
24430,580,129,148,157,57,89
24431,1020,308,177,166,114,255
24432,246,138,20,7,73,8
24433,41,16,0,14,11,0
24435,892,473,94,82,168,75
24437,509,134,100,23,175,77
24439,485,181,81,51,70,102
24440,1642,373,381,337,337,214
24441,3126,839,594,550,169,974
24442,58,31,7,9,0,11
24445,1131,327,378,132,99,195
24448,125,28,6,14,25,52
24450,7209,3291,1291,1375,498,754
24457,136,81,0,28,0,27
24458,50,15,5,23,7,0
24459,398,64,212,17,60,45
24460,410,36,28,173,78,95
24464,35,26,9,0,0,0
24465,420,149,54,119,49,49
24467,1394,628,106,292,146,222
24471,918,421,111,285,54,47
24472,795,192,182,136,224,61
24473,315,122,49,104,40,0
24474,92,47,0,25,0,20
24476,127,66,10,0,25,26
24477,5338,1837,750,1035,435,1281
24479,895,455,80,151,183,26
24482,2315,819,320,509,332,335
24483,470,39,47,53,114,217
24484,282,52,74,61,37,58
24485,165,26,21,31,24,63
24486,1729,563,291,388,237,250
24487,217,47,73,36,61,0
24501,13108,3502,3108,3158,1117,2223
24502,21913,9171,4891,4320,1294,2237
24503,8517,4794,1093,1602,446,582
