ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Cluster
24201,7874,1115,2221,2580,1958,4
24202,6831,322,2986,2335,1188,4
24210,8465,930,2733,2311,2491,4
24211,5484,320,1442,1730,1992,0
24216,1219,253,388,432,146,4
24217,88,17,30,32,9,4
24219,6808,1139,1877,2684,1108,4
24220,628,29,170,346,83,0
24221,247,6,57,123,61,0
24224,2928,484,1148,1018,278,4
24225,1108,197,422,441,48,4
24226,766,87,298,325,56,4
24228,3227,419,1064,1232,512,4
24230,3828,774,1128,1254,672,4
24236,1490,229,539,373,349,4
24237,448,126,203,90,29,4
24239,63,16,47,0,0,1
24243,939,36,344,506,53,0
24244,3200,543,1124,1102,431,4
24245,449,66,152,203,28,4
24246,163,46,74,43,0,4
24248,1171,271,437,309,154,4
24250,643,148,278,196,21,4
24251,3825,271,1548,1196,810,4
24256,1877,385,864,512,116,4
24258,819,75,298,331,115,0
24260,2422,425,926,783,288,4
24263,2856,421,932,1082,421,4
24265,747,122,289,306,30,4
24266,4840,424,1988,1783,645,4
24269,261,98,115,48,0,3
24270,332,21,191,85,35,1
24271,1238,218,459,418,143,4
24272,177,20,116,40,1,1
24273,3101,503,951,1100,547,4
24277,4048,1048,1546,1176,278,4
24279,3184,763,1437,729,255,4
24280,536,45,195,194,102,4
24281,1195,152,460,386,197,4
24282,377,128,101,140,8,3
24283,1004,119,328,388,169,4
24290,1092,139,381,371,201,4
24292,170,19,113,26,12,1
24293,4781,652,1416,1548,1165,4
24301,7098,671,2436,2930,1061,0
24311,827,77,266,386,98,0
24312,1151,284,312,424,131,4
24313,399,44,254,74,27,1
24314,669,58,240,224,147,4
24315,2159,122,1126,669,242,4
24316,0,0,0,0,0,2
24317,2486,478,946,736,326,4
24318,248,24,119,80,25,4
24319,3356,311,1284,1086,675,4
24322,17,8,9,0,0,3
24323,487,44,150,230,63,0
24324,1405,31,429,739,206,0
24325,512,66,178,161,107,4
24326,388,28,136,137,87,0
24328,819,106,142,459,112,0
24330,1497,303,556,477,161,4
24333,8595,1478,2496,3112,1509,4
24340,2889,374,1016,831,668,4
24343,4485,555,2003,1218,709,4
24347,721,33,286,331,71,0
24348,2711,496,1189,668,358,4
24350,721,177,310,192,42,4
24351,69,23,20,26,0,3
24352,654,86,124,212,232,0
24354,7439,734,2815,2652,1238,4
24360,3128,218,1187,896,827,4
24361,2446,352,823,773,498,4
24363,708,76,173,306,153,0
24366,308,13,131,109,55,0
24368,3020,239,1323,994,464,4
24370,3042,485,1211,920,426,4
24374,468,9,241,149,69,4
24375,881,132,278,440,31,0
24377,239,9,150,80,0,1
24378,477,54,209,179,35,4
24380,1251,156,584,257,254,4
24381,1675,123,851,441,260,4
24382,6881,708,2563,2085,1525,4
24401,17782,1345,5237,5717,5483,0
24411,21,9,12,0,0,3
24412,144,0,0,59,85,2
24413,112,11,52,28,21,4
24415,0,0,0,0,0,2
24416,4087,664,1414,1185,824,4
24421,2317,203,1188,521,405,4
24422,2878,212,1189,1028,449,4
24426,6826,608,2892,2357,969,4
24430,2945,772,1519,573,81,4
24431,1320,199,680,268,173,4
24432,270,34,86,111,39,0
24433,45,8,37,0,0,1
24435,891,0,186,235,470,2
24437,850,79,447,223,101,4
24439,570,48,324,156,42,4
24440,1772,130,1031,526,85,1
24441,3190,167,1419,988,616,4
24442,77,2,47,9,19,1
24445,1277,122,428,556,171,0
